Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,39,2,0,24,0,24,0,12,16.97056275,0,0,0,0,615384.6154,51282.05128,39,0,39,39,39,39,0,39,39,0,0,0,0,0,1,0,0,0,64,0,51282.05128,0,0,24,16,13.85640646,192,0,1,0,0,1,0,0,0,0,24,12,0,0,0,0,0,0,0,2,24,0,0,467,-1,0,32,0,0,0,0,0,0,0,0,No Label
6,13888851,4,3,4007,786,2904,0,1001.75,1369.286037,786,0,262,453.7973116,345.0969414,0.504001375,2314808.5,5549313.333,13641635,60,13783359,4594453,7957709.116,13783224,60,13750733,6875366.5,9568948.679,13641635,109098,0,0,0,0,80,60,0.288000786,0.216000589,0,2904,599.125,1027.134354,1055004.982,0,0,0,0,1,0,0,0,0,684.7142857,1001.75,262,0,0,0,0,0,0,4,4007,3,786,487,510,3,20,138118,0,138118,138118,13641635,0,13641635,13641635,No Label
6,5646505,3,1,0,0,0,0,0,0,0,0,0,0,0,0.708402808,1882168.333,3145641.769,5513633,25,5646505,2823252.5,3804772.591,5513633,132872,0,0,0,0,0,0,0,0,0,72,32,0.531302106,0.177100702,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,64240,64240,0,20,0,0,0,0,0,0,0,0,No Label
6,5655850,3,1,0,0,0,0,0,0,0,0,0,0,0,0.707232335,1885283.333,3149618.971,5521321,17,5655850,2827925,3809037.152,5521321,134529,0,0,0,0,0,0,0,0,0,72,32,0.530424251,0.176808084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,64240,64240,0,20,0,0,0,0,0,0,0,0,No Label
6,75600300,100,167,33306,299035,1460,0,333.06,536.1266589,2904,0,1790.628743,1035.411917,4396.027529,3.531732017,284211.6541,1076778.054,4761092,0,75600300,763639.3939,1663076.83,4761092,0,75599757,455420.2229,1379901.948,4894339,10,0,0,0,0,2000,3340,1.322746074,2.208985943,0,2904,1245.496269,1127.365759,1270953.554,0,0,0,0,1,0,0,0,1,1250.161049,333.06,1790.628743,0,0,0,0,0,0,100,33306,167,299035,516,956,39,20,0,0,0,0,0,0,0,0,No Label
6,119928499,889,889,454752,289162,518,0,511.5320585,24.33945691,326,0,325.2665917,15.45386252,6202.979327,14.82550032,67489.30726,66949.84379,154778,19,119927818,135053.8491,5155.895072,161806,898,119928470,135054.5833,4511.839959,160480,21620,0,0,0,0,17792,17792,7.412750159,7.412750159,0,518,418.1641372,95.8501774,9187.256508,0,0,0,1,0,0,0,0,1,418.3993251,511.5320585,325.2665917,0,0,0,0,0,0,889,454752,889,289162,64240,3081,887,20,0,0,0,0,0,0,0,0,No Label
6,119954008,916,916,468536,297964,522,0,511.5021834,23.98180083,326,0,325.2882096,15.22465331,6389.949054,15.27252011,65512.83889,64968.51629,147324,15,119953284,131096.4852,4816.346144,155768,927,119953972,131097.2372,4135.875298,147889,22259,0,0,0,0,18332,18332,7.636260057,7.636260057,0,522,418.1669394,95.74670037,9167.430631,0,0,0,1,0,0,0,0,1,418.3951965,511.5021834,325.2882096,0,0,0,0,0,0,916,468536,916,297964,64240,3081,914,20,0,0,0,0,0,0,0,0,No Label
6,119903953,868,868,443914,282316,524,0,511.421659,24.63284425,326,0,325.2488479,15.63947365,6056.76445,14.47825494,69108.90663,68542.06855,151656,1,119903447,138296.94,5350.505749,177092,1,119903924,138297.4902,4048.498857,158931,38186,0,0,0,0,17372,17372,7.239127471,7.239127471,0,524,418.0944157,95.86983097,9191.024491,0,0,0,1,0,0,0,0,1,418.3352535,511.421659,325.2488479,0,0,0,0,0,0,868,443914,868,282316,64240,3081,866,20,0,0,0,0,0,0,0,0,No Label
6,119874123,881,881,450566,286554,518,0,511.4256527,24.44649492,326,0,325.2599319,15.5237895,6149.116937,14.69875196,68071.6201,67530.5451,150649,6,119873236,136219.5864,5012.252735,156019,461,119874084,136220.55,4386.17191,151142,19459,0,0,0,0,17632,17632,7.349375978,7.349375978,0,518,418.105502,95.82547267,9182.521213,0,0,0,1,0,0,0,0,1,418.3427923,511.4256527,325.2599319,0,0,0,0,0,0,881,450566,881,286554,64240,3081,879,20,0,0,0,0,0,0,0,0,No Label
6,119883154,910,910,465438,296008,518,0,511.4703297,24.0565592,326,0,325.2835165,15.27470686,6351.567961,15.1814491,65906.07697,65364.26892,157905,9,119882539,131883.9813,5013.41651,158774,888,119883131,131884.6326,4293.79501,158590,23979,0,0,0,0,18212,18212,7.590724548,7.590724548,0,518,418.1471719,95.75007118,9168.076131,0,0,0,1,0,0,0,0,1,418.3769231,511.4703297,325.2835165,0,0,0,0,0,0,910,465438,910,296008,64240,3081,908,20,0,0,0,0,0,0,0,0,No Label
6,119954009,910,910,465428,296008,521,0,511.4593407,24.05645166,326,0,325.2835165,15.27470686,6347.732822,15.17248165,65945.02969,65403.33616,150116,12,119953408,131961.945,5014.993099,156367,885,119953991,131962.5864,4310.760259,150646,23482,0,0,0,0,18212,18212,7.586240823,7.586240823,0,521,418.1416804,95.74470245,9167.048048,0,0,0,1,0,0,0,0,1,418.3714286,511.4593407,325.2835165,0,0,0,0,0,0,910,465428,910,296008,64240,3081,908,20,0,0,0,0,0,0,0,0,No Label
6,119916993,918,918,469507,298616,518,0,511.4455338,23.95084881,326,0,325.2897603,15.20807782,6405.455814,15.31059072,65349.85995,64799.06896,164593,6,119916443,130770.385,4875.213452,165114,31,119916986,130770.9771,4879.50559,166365,470,0,0,0,0,18372,18372,7.655295359,7.655295359,0,518,418.139902,95.7120689,9160.800134,0,0,0,1,0,0,0,0,1,418.3676471,511.4455338,325.2897603,0,0,0,0,0,0,918,469507,918,298616,64240,3081,916,20,0,0,0,0,0,0,0,0,No Label
6,119926503,892,892,456190,290140,521,0,511.4237668,24.29633311,326,0,325.2690583,15.42788248,6223.228238,14.87577771,67261.07852,66781.46612,150332,5,119925969,134597.0471,4966.204699,151001,1365,119926492,134597.6341,4872.933535,151070,4584,0,0,0,0,17852,17852,7.437888854,7.437888854,0,521,418.1120448,95.7869623,9175.142147,0,0,0,1,0,0,0,0,1,418.3464126,511.4237668,325.2690583,0,0,0,0,0,0,892,456190,892,290140,64240,3081,890,20,0,0,0,0,0,0,0,0,No Label
6,119907727,890,890,455172,289488,521,0,511.4292135,24.32462404,326,0,325.2674157,15.44518793,6210.275339,14.84474808,67401.75773,66902.50148,151711,5,119907308,134878.8616,4913.708297,152494,38,119907715,134879.3195,4909.530494,152328,451,0,0,0,0,17812,17812,7.422374039,7.422374039,0,521,418.1134194,95.79653382,9176.975893,0,0,0,1,0,0,0,0,1,418.3483146,511.4292135,325.2674157,0,0,0,0,0,0,890,455172,890,289488,64240,3081,888,20,0,0,0,0,0,0,0,0,No Label
6,119926700,913,913,466977,296986,524,0,511.475356,24.01995003,326,0,325.2858708,15.24961848,6370.249494,15.22596719,65713.26027,65150.23755,146610,9,119926198,131498.0241,4938.791809,165393,260,119926689,131498.5625,4930.135727,164791,442,0,0,0,0,18272,18272,7.612983597,7.612983597,0,524,418.1516147,95.74315027,9166.750823,0,0,0,1,0,0,0,0,1,418.3806134,511.475356,325.2858708,0,0,0,0,0,0,913,466977,913,296986,64240,3081,911,20,0,0,0,0,0,0,0,0,No Label
6,109567641,15,10,20,40,4,0,1.333333333,1.951800146,8,0,4,4.216370214,0.547606934,0.228169556,4565318.375,6153008.031,15273211,16,109567641,7826260.071,6363835.398,15273211,138134,109429218,12158802,2961367.837,15409683,9426925,0,0,0,0,300,200,0.136901734,0.091267822,0,8,2.307692308,3.23443016,10.46153846,0,0,0,0,1,0,0,0,0,2.4,1.333333333,4,0,0,0,0,0,0,15,20,10,40,497,513,5,20,137733.4444,1784.850912,140429,135366,12021100.67,2962859.343,15273211,9288621,No Label
6,115748124,20,16,44,80,6,0,2.2,2.587418954,10,0,5,4.618802154,1.071291661,0.31102016,3307089.257,5563952.67,15437242,13,115620752,6085302.737,6467440.271,15437242,60,115617689,7707845.933,6379595.783,15605257,168783,1,0,0,0,400,320,0.172788978,0.138231182,0,10,3.459459459,3.790298981,14.36636637,0,1,0,0,1,0,0,0,0,3.555555556,2.2,5,0,0,0,0,0,0,20,44,16,80,498,514,8,20,528572.5556,747908.2287,1989823,128328,12318177.67,2847294.801,15437242,7980168,No Label
17,511,1,1,48,48,48,48,48,0,48,48,48,0,187866.9276,3913.894325,511,0,511,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1956.947162,1956.947162,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
6,33506116,3,8,0,0,0,0,0,0,0,0,0,0,0,0.328298272,3350611.6,5212718.473,16384008,19,3002959,1501479.5,710559.5836,2003921,999038,33506097,4786585.286,5721861.442,16384008,984866,0,0,0,0,120,320,0.089535892,0.23876238,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,8,0,29200,65160,0,40,9058407,0,9058407,9058407,12223854.5,5883345.501,16384008,8063701,No Label
17,609,1,1,48,48,48,48,48,0,48,48,48,0,157635.468,3284.07225,609,0,609,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1642.036125,1642.036125,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
6,56244007,107,127,27754,240026,1460,0,259.3831776,454.4913318,2904,0,1889.968504,1020.701595,4761.040585,4.160443263,241390.588,898306.8802,7651201,0,56244007,530603.8396,1276142.979,7651201,0,56065310,444962.7778,1240579.518,7835509,10,0,0,0,0,2152,2552,1.902424911,2.258018352,0,2904,1139.489362,1148.902209,1319976.285,0,0,0,1,0,0,0,0,1,1144.358974,259.3831776,1889.968504,0,0,0,0,0,0,107,27754,127,240026,64240,297,31,20,13184335,0,13184335,13184335,7651201,0,7651201,7651201,No Label
17,595,1,1,48,48,48,48,48,0,48,48,48,0,161344.5378,3361.344538,595,0,595,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1680.672269,1680.672269,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,0,0,0,0,0,0,1,48,1,48,-1,-1,0,8,0,0,0,0,0,0,0,0,No Label
6,176492,4,2,232,0,68,44,58,12,0,0,0,0,1314.507173,33.99587517,35298.4,58608.51564,135535,59,966,322,441.7454018,832,59,39991,39991,0,39991,39991,1,0,0,0,80,40,22.66391678,11.33195839,0,68,39.42857143,28.69876387,823.6190476,0,1,0,0,1,0,0,0,0,46,58,0,0,0,0,0,0,0,4,232,2,0,478,511,3,20,0,0,0,0,0,0,0,0,No Label
6,8176177,61,61,31303,19886,516,510,513.1639344,1.496443872,326,326,326,0,6260.749981,14.92139908,67571.71074,67729.54675,143638,369,8175571,136259.5167,1988.299993,144219,133782,8175596,136259.9333,1926.414575,144335,133900,1,0,0,0,1220,1220,7.460699542,7.460699542,326,516,420.3495935,93.97427131,8831.163668,0,1,0,0,1,0,0,0,1,423.795082,513.1639344,326,0,0,0,0,0,0,61,31303,61,19886,511,3081,60,20,0,0,0,0,0,0,0,0,No Label
6,8157356,63,63,32352,20538,518,512,513.5238095,1.029518253,326,326,326,0,6483.718499,15.44618134,65258.848,65378.43305,142933,383,8156853,131562.1452,2706.507094,143718,128376,8156647,131558.8226,2666.272092,143450,128770,1,0,0,0,1260,1260,7.723090668,7.723090668,326,518,420.503937,94.13683674,8861.744032,0,1,0,0,1,0,0,0,1,423.8412698,513.5238095,326,0,0,0,0,0,0,63,32352,63,20538,512,3081,62,20,0,0,0,0,0,0,0,0,No Label
6,8266803,62,62,31814,20212,514,510,513.1290323,1.207678588,326,326,326,0,6293.363952,14.99975263,67209.78049,67349.78015,142283,402,8266322,135513.4754,1996.321664,143027,132442,8266379,135514.4098,1988.508422,143114,132606,1,0,0,0,1240,1240,7.499876313,7.499876313,326,514,420.32,93.94881929,8826.380645,0,1,0,0,1,0,0,0,1,423.7096774,513.1290323,326,0,0,0,0,0,0,62,31814,62,20212,513,3081,61,20,0,0,0,0,0,0,0,0,No Label
6,33904422,3,8,0,0,0,0,0,0,0,0,0,0,0,0.324441455,3390442.2,5252075.223,16384011,14,3008085,1504042.5,712835.0532,2008093,999992,33904406,4843486.571,5758966.432,16384011,975521,0,0,0,0,120,320,0.088484033,0.235957422,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,8,0,29200,65160,0,40,9072403,0,9072403,9072403,12416009.5,5611601.537,16384011,8448008,No Label
